id,Chlorophyll,Temp
117,1.53156722,-9999
118,1.24294806,24.4125004
119,1.17016292,25.4750004
120,0.38225323,24.6000004
121,-32767,26.0375004
122,0.239968926,-9999
123,1.19879496,24.1000004
124,-32767,-9999
125,-32767,24.2875004
126,2.54727149,25.1000004
127,-32767,24.8500004
128,-32767,25.2250004
129,-32767,25.6625004
130,0.665786505,24.9125004
131,1.6376909,-9999
132,8.63856983,24.8500004
133,-32767,-9999
134,3.19640231,26.1000004
135,0.303536713,26.3500004
136,1.35290027,25.7250004
137,-32767,25.5375004
138,6.92696571,-9999
139,2.74727583,25.1625004
140,0.967576861,-9999
141,3.38975,25.1625004
142,-32767,25.9125004
143,-32767,25.2875004
144,2.83952427,26.5375004
145,1.51513922,25.6000004
146,1.98870695,25.7875004
147,2.25200486,-9999
148,2.71240664,25.5375004
149,2.66411829,-9999
150,1.57717359,26.1000004
151,1.53308725,27.0375004
152,1.75662744,26.6625004
153,1.34916139,26.6625004
154,1.17822194,-9999
155,2.31374454,26.4125004
156,1.95940101,-9999
157,1.4785856,25.6000004
158,1.50419128,26.2875004
159,1.38809586,26.0375004
160,1.23767734,26.1000004
161,0.544927955,27.0375004
162,-32767,26.2250004
163,1.1164254,-9999
164,1.03056753,27.0375004
165,-32767,-9999
166,1.63641667,26.4750004
167,-32767,26.4125004
168,-32767,26.2250004
169,0.941165268,26.9125004
170,-32767,-9999
171,0.313673913,26.5375004
172,0.669359982,-9999
173,-32767,26.7250004
174,0.658233881,27.8500004
175,-32767,26.6000004
176,-32767,26.5375004
177,-32767,26.3500004
178,-32767,27.1000004
179,2.82002425,-9999
180,-32767,27.9750004
181,1.57310915,-9999
182,1.08391917,28.2875004
183,-32767,29.5375004
184,3.92736983,28.7875004
185,1.58790135,27.9750004
186,1.43472779,-9999
187,1.83657682,27.5375004
188,-32767,-9999
189,3.31061983,27.9750004
190,2.86673903,26.9750004
191,2.34208632,27.1625004
192,2.38225412,27.9125004
193,1.2627368,27.8500004
194,1.03285646,28.4750004
195,-32767,-9999
196,1.81598747,27.8500004
197,1.34074092,-9999
198,1.60189867,28.2250004
199,1.59988177,29.4125004
200,1.35150862,27.2250004
201,1.32180488,27.8500004
202,1.27641714,-9999
203,1.26826644,28.2250004
204,0.934245586,-9999
205,2.1384697,28.2875004
206,1.46833742,28.6625004
207,-32767,28.6000004
208,1.39085662,29.1625004
209,1.78515828,26.4125004
210,1.03790629,28.2875004
211,0.653506994,-9999
212,-32767,29.0375004
213,1.64508736,-9999
214,1.38468313,29.2250004
215,0.880164087,29.7875004
216,1.03758657,28.4125004
217,1.2424705,29.6625004
218,3.08220267,-9999
219,-32767,28.9125004
220,-32767,-9999
221,-32767,27.0375004
222,-32767,-9999
223,1.8333329,-9999
224,-32767,-9999
225,3.14469552,-9999
226,1.20092213,27.7875004
227,2.1276443,-9999
228,2.75090623,31.3500004
229,-32767,-9999
230,1.56694281,30.3500004
231,-32767,30.6000004
